3081,35116,97412,97439
4600,34873,96755,96820
6319,33646,96523,96560
6458,44313,91028,91249
6540,36967,94760,94781
7369,37657,93982,94040
8229,44220,90266,90333
8687,38334,92990,93037
9617,35683,93798,93950
9920,36010,93509,93609
10739,38579,91858,91872
11258,44932,88411,88447
12672,54540,82852,82984
13297,39406,90152,90193
13387,49218,85188,85255
13405,44698,87444,87501
13468,44206,87686,87688
13493,51640,83885,84030
13944,42838,88013,88253
14187,55967,81343,81551
14990,49409,84300,84349
15379,39320,89114,89235
15642,47987,84648,84771
15834,53302,81924,81988
15944,50303,83380,83421
15968,47010,84945,85125
16109,60693,78083,78163
16402,46911,84814,84921
16563,41216,87588,87681
16627,61507,77426,77488
16824,50118,83046,83060
16927,59241,78386,78494
17288,47528,84067,84165
17592,61310,76982,77164
18920,51910,81106,81112
18934,52071,80974,81069
19490,48586,82350,82622
20154,58314,77259,77321
20740,58681,76813,76814
20941,55552,78182,78373
21418,54427,78517,78686
21709,42391,84400,84548
21832,48011,81573,81632
21975,51091,79970,80012
23868,44862,82109,82209
24179,48613,80090,80166
24520,55158,76640,76730
25992,41699,82650,82707
26100,34614,86114,86220
26570,40961,82723,82794
27434,47570,78977,79067
28964,42953,80481,80650
32623,33801,34370,36664
51559,52739,53547,53702
54692,55957,56876,56980
23162,25938,54748,64582,64618
23252,35038,43904,65325,65529
23323,27224,50219,66066,66216
23863,24683,44798,69702,70002
24203,28649,56441,61746,62009
24353,24991,47061,68180,68463
24747,29899,54280,62015,62107
24786,27483,47380,66487,66912
24787,28389,44198,67767,67907
25391,27121,56238,62143,62155
25446,27134,43260,68571,68637
25746,26534,49414,65650,65704
25775,29699,43483,66981,67110
25819,26579,51107,64663,64880
26222,40921,52637,56465,56803
26507,30641,47954,63961,63985
26794,28937,55018,61135,61164
26998,30948,53170,60943,60989
27268,29885,57911,58844,59140
27284,29573,50468,62600,63123
27496,31793,53245,60187,60327
27766,34418,52033,59402,59429
27842,28165,46869,64980,65192
27916,30466,45787,64385,64494
27941,33896,46200,62497,62514
27967,32245,44540,64131,64165
28632,33463,54097,58103,58753
29120,29533,47345,63132,63918
29291,36154,52388,57446,57769
29383,31124,42075,65208,65258
29470,39483,52950,54223,56922
29671,31267,42987,64542,64581
29748,40638,51458,54986,56218
29752,30683,53383,59605,59625
29958,34906,54190,56737,57257
30295,36945,42840,61411,61557
30540,31718,56197,57217,57376
30776,34138,47886,60039,60209
31153,34123,44306,61727,61739
31467,39391,46025,57815,58350
31596,34595,55061,55822,55974
31722,37219,40862,61617,61628
31734,33424,43402,62179,62309
32366,36068,53633,54738,56243
33797,36856,40317,61017,61061
33971,34912,42878,60560,60727
34860,39093,43449,57570,58076
35610,35833,40673,60373,60559
36676,37231,40594,59267,59280
36738,37278,40504,42757,42992
37440,37766,39944,58800,59098
40072,40585,41395,54398,56598
