8444,9844
8461,9827
8634,9654
8654,9634
8957,9331
9027,9261
4,8302,9982
43,8253,9992
50,8339,9899
57,8245,9986
113,8259,9916
121,8329,9838
156,8159,9973
239,8377,9672
253,8283,9752
296,8344,9648
314,8278,9696
318,8161,9809
322,8289,9677
350,8423,9515
413,8175,9700
474,8503,9311
493,8131,9664
496,8409,9383
503,8412,9373
538,8088,9662
669,8058,9561
689,8061,9538
694,8394,9200
732,8463,9093
753,8149,9386
763,7538,9987
779,8386,9123
869,8009,9410
882,8519,8887
900,8046,9342
928,7989,9371
961,7862,9465
1061,7912,9315
1072,7997,9219
1088,8555,8645
1090,7882,9316
1093,8385,8810
1094,7790,9404
1200,7112,9976
1282,7830,9176
1425,7763,9100
1493,7752,9043
1496,7708,9084
1503,7739,9046
1574,6814,9900
1704,7689,8895
1889,7600,8799
1892,7526,8870
1924,7673,8691
1929,7684,8675
1978,7682,8628
2030,7522,8736
2116,7407,8765
2131,7543,8614
2650,7551,8087
2843,7133,8312
3035,6847,8406
3152,6812,8324
3674,6515,8099
3783,6186,7640
3969,6484,7835
4146,7069,7073
4675,5699,7914
4928,5853,7507
4935,6676,6677
4976,6651,6661
5402,5413,7473
6013,6135,6140
1567,2875,4555,9291
1590,3966,6360,6372
1595,3013,4801,8879
1598,4135,6258,6297
1605,5408,5636,5639
1607,4233,6222,6226
1613,3701,4174,8800
1660,4786,4870,6972
1674,3715,6449,6450
1675,3817,6396,6400
1682,2906,5180,8520
1688,3629,4208,8763
1690,5047,5461,6090
1722,4097,6234,6235
1751,2600,6081,7856
1811,3242,4182,9053
1831,2128,4951,9378
1840,4819,5805,5824
1856,3921,5174,7337
1857,3630,5711,7090
1861,4521,5938,5968
1863,4999,5631,5795
1902,2365,4219,9802
1903,2645,4171,9569
1947,4344,5991,6006
1957,2522,6699,7110
1974,4501,4779,7034
1983,2860,6383,7062
1986,3300,3761,9241
1994,4783,5750,5761
1996,2515,5685,8092
1999,4064,4736,7489
2005,5240,5500,5543
2018,2967,6098,7205
2022,5177,5544,5545
2025,5281,5363,5619
2083,2568,4592,9045
2085,3515,6253,6435
2097,2240,5376,8575
2109,4058,6051,6070
2135,2576,4681,8896
2143,4822,5640,5683
2146,2223,4260,9659
2157,3121,6500,6510
2161,2279,4092,9756
2172,2487,3960,9669
2231,4196,4803,7058
2245,3040,3113,9890
2274,3278,5349,7387
2280,4453,5769,5786
2294,2757,6162,7075
2299,2912,4345,8732
2330,5039,5284,5635
2389,4717,5586,5596
2397,2889,4159,8843
2400,2957,3042,9889
2409,2949,3738,9192
2415,3272,3614,8987
2419,5123,5372,5374
2425,4635,4813,6415
2426,3700,5912,6250
2496,3097,6342,6353
2518,3651,3681,8438
2527,3612,6071,6078
2573,4574,5559,5582
2581,2651,3531,9525
2588,4331,4356,7013
2623,3522,5460,6683
2632,3454,3461,8741
2639,3523,5961,6165
2646,5161,5211,5270
2674,3778,4854,6982
2702,2832,3144,9610
2717,3857,4337,7377
2741,3265,3543,8739
2773,2856,4445,8214
2793,4015,4021,7459
2795,2806,4824,7863
2861,5099,5158,5170
2914,3192,6041,6141
2939,2960,3248,9141
2986,4072,4125,7105
2999,4160,4634,6495
3037,4969,5126,5156
3061,3333,3379,8515
3102,5056,5060,5070
3216,3349,5026,6697
3219,3545,3759,7765
3317,4957,5004,5010
3318,3513,3820,7637
3362,3399,4744,6783
3500,4860,4958,4970
3533,4032,4036,6687
3699,4712,4722,4993
3850,3883,3886,6669
4101,4668,4754,4765
4243,4671,4679,4695
4362,4478,4515,4933
