38378,38640,39811
18934,27916,65889,88881
19248,39870,58844,83658
19320,30283,66066,85951
19479,35278,60209,86654
19490,36967,66981,78182
19664,32908,68074,80974
20070,21918,65650,93982
20081,27842,54986,98711
20587,21975,77426,81632
20650,25819,58314,96837
20740,21505,75210,84165
20875,39391,63961,77393
20941,49409,62309,68961
21315,27434,68571,84300
21360,33797,65635,80828
21709,40668,53383,85860
21832,53578,61628,64582
21949,28165,69518,81988
22052,27029,75725,76814
22070,24786,61727,93037
22154,39892,67913,71661
22868,27967,61061,89724
23162,37267,55822,85369
23252,30542,70002,77824
23323,37145,56803,84349
23766,35116,67110,75628
24179,33971,57570,85900
24203,49620,61310,66487
24495,44425,58681,74019
24683,29383,70390,77164
24787,32623,56197,88013
24991,40673,52071,83885
25331,42878,53245,80166
25391,39320,60727,76182
25746,29671,59241,86962
26100,30776,72009,72735
26222,45676,51559,78163
26507,44932,59280,70901
26534,30948,53302,90836
26794,28937,66912,78977
27134,53170,60373,60943
27284,29291,71292,73753
27496,36360,57376,80388
27766,43449,56876,73529
27997,38579,64494,70550
28380,44405,46911,81924
28389,51107,52739,69385
28632,36738,61746,74504
29533,42953,56441,72693
29752,44540,54190,73138
29885,33239,59429,79067
29899,40000,44220,87501
30540,41159,43990,85931
30641,35683,61617,73679
30683,35092,50468,85377
31219,40058,48134,82209
31267,38334,46894,85125
31467,53547,54427,62179
31636,40594,47040,82350
31718,52637,55158,62107
31722,40317,46931,82650
31734,47162,48586,74138
31927,44849,59140,65704
32245,35038,46649,87688
32290,37440,61135,70755
32366,38603,46103,84548
32595,42757,51091,75177
32752,43483,56922,68463
32941,44698,48904,75077
33197,41541,62497,64385
33424,41216,58800,68180
33646,51458,55957,60559
33896,36154,64131,67439
34032,41495,52388,73705
34114,49133,56218,62155
34370,37008,63123,67119
34614,41102,61739,64165
34860,42075,49467,75218
34873,50219,51910,64618
34912,35157,54738,76813
35610,44798,53445,67767
35833,38737,44198,82852
36179,44306,57217,63918
36204,39406,41196,84814
36676,42391,60039,62514
37278,42840,44862,76640
38436,40257,60327,62600
38936,39944,45369,77371
39093,49552,56238,56737
40504,42838,46025,72253
40585,47380,55552,58103
40961,41699,53702,65258
42987,45470,48183,64980
43904,47061,49244,61411
44206,49414,52033,55967
45841,46936,49218,59625
14657,59098,61017,65192
695,4065,7141,90193,99526
732,2793,10969,89114,98012
1085,3212,10342,87904,99077
1296,17288,30588,61507,90941
1601,8124,15868,80251,95776
1786,2267,5794,92472,99301
2185,8728,21665,71313,97729
3467,6793,27034,67907,96419
4106,7594,10386,80842,98692
4350,5685,37649,59402,94534
4468,5203,7543,85764,98642
6771,10930,11666,75675,96578
22750,41395,42766,43126,43260
7269,9358,9909,78386,96698
12105,14034,15944,64663,94874
12672,14990,25938,58350,89670
13871,20981,28964,50118,87686
13946,17141,24353,54280,91900
14501,15642,20424,57911,93142
16097,30295,33801,37231,84196
17618,21483,26570,48505,87444
18884,25446,31458,49463,76369
20758,22096,27268,47143,84355
21884,27224,27941,37219,87352
23863,25992,31124,37657,82984
