3081,35116,97412,97439
4600,34873,96755,96820
6319,33646,96523,96560
6458,44313,91028,91249
6540,36967,94760,94781
7369,37657,93982,94040
8229,44220,90266,90333
8687,38334,92990,93037
9617,35683,93798,93950
9920,36010,93509,93609
10739,38579,91858,91872
11258,44932,88411,88447
12672,54540,82852,82984
13297,39406,90152,90193
13387,49218,85188,85255
13405,44698,87444,87501
13468,44206,87686,87688
13493,51640,83885,84030
13944,42838,88013,88253
14187,55967,81343,81551
14990,49409,84300,84349
15379,39320,89114,89235
15642,47987,84648,84771
15834,53302,81924,81988
15944,50303,83380,83421
15968,47010,84945,85125
16109,60693,78083,78163
16402,46911,84814,84921
16563,41216,87588,87681
16627,61507,77426,77488
16824,50118,83046,83060
16927,59241,78386,78494
17288,47528,84067,84165
17592,61310,76982,77164
18920,51910,81106,81112
18934,52071,80974,81069
19490,48586,82350,82622
19664,61135,76067,76182
20154,58314,77259,77321
20587,61061,75675,75725
20740,58681,76813,76814
20941,55552,78182,78373
21418,54427,78517,78686
21709,42391,84400,84548
21832,48011,81573,81632
21975,51091,79970,80012
23868,44862,82109,82209
24179,48613,80090,80166
24520,55158,76640,76730
25992,41699,82650,82707
26100,34614,86114,86220
26570,40961,82723,82794
27434,47570,78977,79067
28964,42953,80481,80650
31718,50219,75539,75572
23323,31467,45470,66368,66420
23766,24991,54748,64663,64880
23863,24683,44798,69702,70002
24786,27029,52033,64582,64618
24787,27766,53445,63132,63918
25180,36676,46894,62143,62155
25391,32245,57815,58753,58844
25446,27918,56218,61727,61739
25746,26534,49414,65650,65704
25775,32623,43449,65566,65635
25819,29383,47380,65208,65258
25938,27483,47345,66066,66216
26222,26507,56197,62015,62107
26794,29120,56598,60209,60327
27034,27121,53170,62600,63123
27224,33424,50468,60943,60989
27268,27997,48904,64385,64494
27284,34912,45841,62497,62514
27496,31153,46103,64131,64165
27842,28165,46869,64980,65192
27916,28937,52950,61617,61628
27941,36738,53547,57376,57446
27967,29671,44556,65325,65529
28083,29470,57257,59098,59140
28380,29748,52739,61017,61164
28632,30683,45787,63961,63985
28649,31793,43483,64542,64581
29291,36154,55061,56238,56243
29533,34595,55018,56922,56980
29573,36664,53633,56441,56737
29699,39483,53702,54190,55974
29752,34138,55822,56465,56871
29885,40862,42075,60039,60187
29899,31124,31734,33797,33801
29958,39391,39944,61746,62009
30283,31722,52361,59280,59402
30295,36945,42840,61411,61557
30466,33896,44198,62179,62309
30540,40594,51559,54398,55957
30776,34370,54223,56803,56876
30948,37766,43402,60373,60559
31596,42286,42987,58076,58103
32366,36068,45918,59267,59429
33463,35038,43260,60560,60727
33971,37219,44708,58350,58800
34123,35610,35833,36856,37231
34418,34860,44540,59605,59625
34906,40921,41541,57769,57911
37278,42757,43904,53383,54692
37440,40317,40504,57217,57570
39093,40072,40585,40673,41395
40638,41102,42992,53578,54738
