871,928,928,928,928
871,928,928,928,928
866,929,929,929,930
839,936,936,936,936
829,938,938,939,939
827,939,939,939,939
799,946,946,946,946
775,952,952,952,952
775,952,952,952,952
759,956,956,956,956
755,957,957,957,957
731,963,963,963,963
731,963,963,963,963
719,966,966,966,966
703,970,970,970,970
687,974,974,974,974
687,974,974,974,974
687,974,974,974,974
675,977,977,977,977
671,978,978,978,978
663,980,980,980,980
639,986,986,986,986
607,994,994,994,994
607,994,994,994,994
28,911,911,911,911,911
322,624,799,946,946,946
368,423,948,948,948,948
387,593,663,980,980,980
450,451,920,920,921,921
492,493,645,984,984,985
303,560,930,930,930,930
382,583,723,965,965,965
61,721,905,965,965,966
763,764,764,764,764,764
763,764,764,764,764,764
738,769,769,769,769,769
729,770,771,771,771,771
718,773,773,773,773,773
663,784,784,784,784,784
663,784,784,784,784,784
194,619,797,991,991,991
578,801,801,801,801,801
568,803,803,803,803,803
438,829,829,829,829,829
358,845,845,845,845,845
358,845,845,845,845,845
348,847,847,847,847,847
22,847,912,934,934,934
321,852,852,852,853,853
228,871,871,871,871,871
228,871,871,871,871,871
1,916,916,916,917,917
72,814,924,924,924,925
414,468,925,925,925,926
233,704,835,937,937,937
468,469,835,937,937,937
219,532,958,958,958,958
147,600,959,959,959,959
365,365,963,963,963,964
482,483,723,965,965,965
37,715,930,967,967,967
209,494,970,970,970,970
442,607,618,972,972,972
554,555,555,973,973,973
97,569,979,979,979,980
165,442,994,994,994,994
125,478,995,995,995,995
3,587,998,998,998,999
500,500,583,1000,1000,1000
500,500,583,1000,1000,1000
41,108,282,388,941,941,941,941
120,437,437,463,515,639,986,986
78,137,140,845,845,846,846,846
18,165,348,400,859,931,931,931
104,171,239,733,834,834,834,834
152,158,193,324,809,982,982,983
175,205,315,405,708,925,925,925
43,170,223,402,936,936,936,937
109,161,233,236,961,961,961,961
78,120,274,479,731,963,963,975
227,283,461,461,639,669,921,922
14,65,286,302,979,979,979,979
76,204,288,365,851,933,933,933
289,290,320,324,575,928,928,929
280,298,337,520,577,857,857,857
64,220,307,700,823,823,823,823
127,321,385,513,762,825,825,825
40,279,281,323,891,923,923,923
331,331,406,406,406,823,940,940
331,332,487,487,490,818,819,819
17,340,356,714,789,789,789,789
96,190,340,538,738,779,951,951
170,180,350,443,860,860,860,860
36,98,320,352,819,986,986,986
14,83,381,450,913,914,914,914
26,149,385,412,695,972,972,972
53,225,430,431,861,861,861,861
17,31,453,454,907,907,907,907
194,374,375,398,464,782,998,998
140,248,471,497,497,848,941,941
146,326,350,353,480,976,976,976
151,315,315,496,787,787,787,945
59,230,399,507,615,819,977,977
38,178,422,521,856,856,856,856
194,536,536,536,563,610,804,804
285,334,472,537,537,806,806,806
66,128,187,539,905,919,919,920
169,202,372,413,547,960,960,960
6,386,391,529,568,803,950,950
563,574,574,574,574,574,575,575
541,577,577,577,577,578,578,578
518,580,580,581,581,581,581,581
474,587,587,587,587,587,587,587
369,602,602,602,602,602,602,602
265,496,496,531,600,603,796,796
330,607,607,607,608,608,608,608
159,632,632,632,632,632,632,632
117,638,638,638,638,638,638,638
6,653,654,654,654,654,654,654
97,218,297,635,662,700,987,987
148,398,672,673,673,673,673,673
180,359,674,674,674,674,674,674
225,451,528,675,676,676,676,676
87,440,676,676,676,676,676,676
43,152,286,682,726,804,945,945
357,384,384,691,691,692,692,692
151,274,693,693,693,693,693,693
7,422,687,693,693,693,694,694
92,105,133,699,741,937,938,938
88,173,268,441,703,970,970,970
22,121,722,743,743,744,744,744
99,146,723,723,723,723,723,723
6,376,393,706,735,769,770,828
167,366,370,736,736,736,736,736
75,386,386,679,741,772,772,772
23,95,744,744,744,744,744,745
36,41,751,751,751,751,751,751
60,119,170,716,752,922,922,922
11,46,754,754,754,754,755,755
151,384,384,679,679,768,769,769
94,175,356,693,778,778,778,931
171,218,509,551,551,778,887,918
325,326,334,572,692,778,778,778
250,255,498,559,679,780,781,781
232,232,326,636,789,789,789,790
141,172,314,790,790,792,792,792
95,104,394,798,798,798,798,798
44,101,552,696,797,797,798,798
87,208,294,798,799,799,799,799
278,291,406,406,800,800,801,801
30,153,277,802,803,803,803,912
61,169,333,804,804,804,804,804
58,250,250,805,805,805,805,805
183,335,336,489,810,810,810,810
240,241,431,432,432,814,996,997
100,152,251,816,816,816,816,816
144,261,350,556,818,818,818,818
53,172,243,823,823,823,823,823
134,281,409,463,824,824,824,824
126,337,368,380,843,843,843,843
286,353,423,423,560,846,846,846
39,428,428,560,560,856,856,856
18,136,143,857,857,857,857,858
50,144,225,717,861,862,862,862
44,83,300,708,862,862,862,862
114,139,435,435,865,865,865,865
60,68,125,866,866,866,866,866
3,117,123,868,868,868,868,868
30,84,110,871,872,872,872,872
79,122,218,672,873,873,873,873
50,78,82,874,874,875,875,875
13,80,87,880,880,881,881,881
12,34,92,889,889,889,889,889
30,44,59,890,890,890,890,890
21,37,66,891,892,892,892,892
45,73,118,775,893,893,893,893
12,17,49,901,901,901,901,901
12,22,44,901,901,901,901,901
26,26,47,876,902,902,902,902
1,19,50,902,902,903,903,903
34,34,451,452,903,903,903,903
17,19,27,904,904,904,904,904
48,250,251,652,661,907,907,907
1,13,24,909,909,909,909,909
1,32,379,506,910,910,910,935
9,9,11,910,911,911,911,911
67,240,308,308,891,923,923,923
54,354,383,522,584,833,926,927
54,93,297,433,919,929,929,929
99,146,305,305,932,932,932,932
202,203,270,272,795,947,947,947
77,312,383,474,475,954,954,954
21,133,270,311,962,962,962,962
126,241,402,412,813,813,814,962
112,143,193,277,964,964,965,965
177,312,312,427,427,976,976,976
276,431,431,491,491,500,981,982
29,110,202,302,985,985,985,985
35,195,358,436,593,988,989,989
131,180,281,312,709,990,990,990
167,213,388,389,453,991,991,991
206,207,264,320,595,997,997,997
8,85,127,518,519,632,898,898,898
11,30,43,256,643,900,900,900,900
4,18,48,184,865,866,866,866,866
20,42,132,386,387,904,904,904,904
21,100,202,429,609,609,871,871,871
8,22,83,745,745,745,745,745,745
16,24,649,649,649,649,649,649,649
33,122,189,238,244,805,984,984,984
47,238,331,648,648,648,648,648,727
48,99,208,292,294,821,940,940,941
62,180,362,502,514,566,592,879,926
25,65,107,251,827,827,827,827,827
11,70,123,175,567,799,946,946,946
74,88,147,281,560,854,855,855,869
77,217,357,357,715,715,715,715,715
78,127,339,538,539,539,807,808,808
79,202,292,439,506,507,800,800,958
33,84,166,266,462,893,893,893,893
85,129,255,458,553,679,808,808,808
50,90,230,253,568,848,848,848,848
98,267,576,576,576,576,576,576,762
2,51,106,107,863,863,863,864,864
111,296,332,394,690,690,690,690,690
87,89,121,305,377,679,975,975,975
84,100,127,712,712,712,712,712,712
130,202,405,530,547,547,598,812,812
3,131,524,654,654,654,654,654,655
35,101,132,229,670,854,854,854,854
24,29,136,141,836,836,836,837,908
59,139,242,292,569,621,887,887,887
60,91,148,714,714,714,714,714,714
152,154,611,611,611,611,611,611,611
79,153,203,255,269,747,959,959,959
128,157,614,614,614,614,614,614,614
12,37,159,213,380,863,973,973,973
2,168,255,263,631,631,807,907,919
39,82,172,274,476,885,885,885,885
173,179,364,364,436,547,840,840,840
84,175,198,279,611,809,809,809,809
2,164,169,182,408,913,915,915,915
72,185,243,384,417,417,955,955,955
6,180,186,701,702,702,702,702,702
54,59,88,189,838,838,839,839,839
15,30,192,476,554,829,829,829,829
28,28,199,375,375,703,958,958,959
138,198,199,341,441,530,894,899,943
35,201,325,326,541,631,631,946,947
217,234,348,349,480,612,684,733,926
69,140,225,452,452,497,914,917,917
106,226,542,543,543,543,544,544,992
84,119,131,241,581,582,923,961,961
71,166,187,244,274,815,942,942,942
7,29,38,246,626,909,909,909,910
95,256,385,641,641,641,641,641,642
167,168,261,447,708,708,708,708,708
58,72,96,264,265,957,957,957,957
168,267,267,267,268,669,771,953,953
51,109,189,269,793,793,793,793,793
39,86,129,279,403,839,936,936,936
240,241,241,281,282,412,962,962,962
13,116,283,372,413,713,891,891,891
35,107,171,285,569,854,854,854,854
106,285,285,286,370,384,955,956,956
12,260,274,299,485,631,646,988,988
38,149,304,381,566,657,689,806,993
135,142,161,242,308,763,890,949,993
68,95,132,317,543,701,743,992,992
217,238,320,427,674,674,675,675,683
12,100,321,404,404,808,812,843,879
253,324,396,397,504,505,618,793,793
131,327,336,336,336,591,842,842,842
72,149,169,338,420,706,875,927,927
147,151,352,352,459,701,807,807,807
21,154,165,181,360,819,883,1000,1000
81,318,318,372,634,634,635,635,956
170,294,369,378,421,422,843,843,843
155,178,378,380,576,613,767,768,768
107,189,281,318,381,446,953,954,954
144,150,188,318,383,601,933,933,933
130,151,185,384,387,403,981,981,981
135,400,400,401,406,406,811,812,812
184,396,403,600,600,600,600,600,600
69,308,390,390,403,683,780,780,780
75,164,328,328,408,820,820,820,820
73,239,253,291,417,801,802,802,905
2,210,289,419,419,419,927,939,959
101,182,265,371,422,780,820,821,821
129,132,428,649,649,649,649,649,649
1,23,34,439,439,911,912,912,912
314,315,439,439,440,659,659,659,659
28,119,246,443,443,565,913,913,913
444,444,444,445,445,445,445,519,952
40,83,219,423,446,765,869,869,869
58,233,445,446,501,501,501,949,949
118,227,275,305,450,541,779,944,944
66,117,224,414,441,456,955,955,955
1,193,356,462,462,511,866,866,866
121,123,196,209,466,867,867,867,867
31,119,163,481,596,751,814,814,814
90,179,314,509,546,647,654,725,919
37,126,144,516,752,752,752,752,752
59,171,188,297,536,833,833,833,833
1,4,55,550,551,708,904,905,905
146,322,376,396,552,697,698,698,698
4,442,591,591,591,591,591,591,591
39,183,428,593,594,594,594,691,867
107,269,601,601,601,601,601,601,601
188,228,229,601,601,601,601,601,933
170,199,602,602,602,602,602,602,602
51,391,391,426,426,603,731,782,782
134,319,348,605,605,605,605,605,757
99,305,513,611,611,611,611,611,611
15,285,570,618,619,619,619,619,619
75,172,619,619,619,619,620,620,620
200,300,440,440,600,621,660,661,661
99,132,621,621,622,622,622,622,622
4,163,272,380,626,626,626,910,976
93,101,627,627,627,627,627,627,627
263,264,264,632,632,632,632,632,632
56,70,119,633,741,741,741,741,741
89,92,340,642,642,642,642,642,852
16,62,643,643,643,644,644,644,644
32,43,644,644,644,644,644,644,644
68,258,516,516,645,645,645,645,645
115,266,285,652,653,653,653,653,653
118,225,286,659,659,659,659,659,659
129,174,359,612,661,662,662,662,662
26,319,477,477,636,662,662,662,662
80,261,403,584,599,664,664,664,664
157,421,421,421,507,664,664,664,664
3,128,148,437,438,666,921,921,921
137,334,334,438,668,668,668,668,668
104,142,323,669,669,669,669,669,669
336,336,447,448,448,553,671,672,672
24,60,300,300,674,765,765,765,930
5,205,209,694,694,694,694,694,694
99,99,196,698,698,698,698,698,699
114,183,227,544,703,703,703,703,703
27,238,326,467,705,705,705,705,705
44,116,140,209,706,842,842,842,842
94,110,116,591,707,707,707,707,844
143,292,292,294,712,712,712,713,713
7,131,136,718,718,718,718,718,719
31,35,203,719,719,719,719,719,719
120,147,359,361,719,719,719,719,720
195,224,266,266,726,726,726,727,727
98,120,354,356,731,731,731,731,731
73,149,320,367,734,735,735,735,735
46,140,299,306,737,737,772,773,773
23,54,75,738,738,738,739,739,739
71,73,240,499,740,740,740,740,740
50,75,84,701,701,743,743,743,743
19,42,58,744,744,744,744,744,744
3,101,242,421,746,746,747,747,830
17,21,41,750,750,751,751,751,751
24,153,334,335,335,758,881,881,882
94,331,387,387,410,648,775,775,776
140,254,276,277,626,676,778,778,778
187,228,308,312,432,779,779,779,779
25,74,282,297,781,781,781,781,781
128,352,391,392,392,667,695,783,783
215,235,288,305,354,783,801,801,801
233,257,320,360,360,689,788,788,788
170,171,317,319,446,790,790,790,790
183,259,351,528,528,528,622,792,792
172,359,367,450,490,548,548,822,827
183,187,191,235,470,823,823,823,848
37,93,126,182,829,829,829,829,829
30,110,118,165,832,832,832,832,832
23,83,98,205,834,835,835,835,835
83,110,327,387,399,769,836,836,836
111,171,227,269,457,837,837,837,837
180,186,189,243,508,655,841,841,940
43,84,109,223,477,842,935,935,935
39,94,181,181,712,844,844,844,844
7,81,358,422,422,758,845,845,845
41,128,179,318,531,846,846,847,847
4,69,164,235,732,814,855,855,855
59,77,81,88,855,855,856,856,856
47,69,360,360,499,656,864,864,864
41,207,208,297,411,824,865,865,865
119,119,289,290,290,869,869,869,869
8,218,251,307,307,873,873,873,873
35,49,62,69,873,873,874,874,874
4,55,296,358,358,878,878,878,878
94,94,162,311,406,879,879,879,879
47,70,72,439,439,879,879,879,879
46,137,269,269,342,880,880,880,880
46,57,75,177,704,881,881,881,881
1,21,67,74,884,884,884,884,884
30,42,87,133,755,884,884,884,884
4,59,74,155,735,889,889,889,889
7,31,43,47,891,891,891,891,891
10,398,398,457,457,457,577,914,915
84,105,217,221,520,610,917,917,992
141,189,263,408,408,420,918,918,918
77,104,120,219,406,879,926,926,926
65,71,275,348,362,684,926,926,926
136,166,185,204,555,556,927,927,927
63,94,169,403,530,530,931,931,932
93,117,153,164,328,932,932,932,932
135,233,244,380,380,406,935,935,935
79,149,175,190,250,935,935,935,935
67,116,131,314,314,815,942,942,942
157,195,261,286,480,545,735,962,962
71,103,147,343,393,625,967,967,967
194,222,286,335,394,604,604,972,972
94,136,275,372,372,410,974,975,975
24,33,41,42,520,980,981,981,981
124,269,270,373,426,538,598,992,993
55,131,369,521,529,590,655,736,997
1,317,317,556,556,556,556,556,556,612
2,4,17,33,155,689,905,906,906,966
5,49,200,276,350,451,456,932,932,932
7,9,65,84,736,736,736,736,737,737
12,157,361,367,431,628,629,629,629,740
15,189,206,302,458,625,697,697,697,697
5,14,16,22,39,897,897,897,898,898
18,20,211,314,406,462,685,715,845,907
20,23,122,136,713,713,714,714,714,714
20,193,193,217,266,407,582,753,963,989
23,26,39,250,385,514,649,899,899,899
6,25,69,71,617,757,757,757,757,767
26,58,157,258,262,440,660,886,886,950
29,107,216,373,466,466,467,662,836,961
34,185,185,261,372,556,556,742,817,875
35,39,128,157,360,500,500,864,1000,1000
35,110,233,351,367,529,529,529,950,950
36,167,276,362,363,449,613,725,725,867
37,125,145,252,428,679,680,680,680,877
38,228,263,367,445,447,671,708,708,708
39,41,66,356,440,728,728,728,728,729
27,33,41,93,341,537,877,878,878,878
42,122,172,203,219,448,745,870,871,891
43,69,213,424,496,497,497,566,818,960
45,194,204,341,342,345,358,918,918,918
50,208,373,494,494,494,494,494,494,988
52,58,197,242,351,424,746,747,794,972
52,253,317,324,324,647,647,647,648,724
55,56,133,208,687,687,687,688,688,694
14,58,283,350,350,494,699,727,748,860
61,145,159,203,319,319,705,790,937,945
8,61,96,304,366,504,694,758,896,896
65,89,129,229,301,481,649,880,880,880
68,107,183,282,362,591,653,655,721,961
69,129,296,298,389,445,445,696,867,949
21,77,128,183,241,684,721,821,821,886
75,79,133,138,340,763,763,764,764,764
81,126,266,327,415,586,646,646,688,802
81,228,337,337,337,338,646,647,789,843
56,81,136,183,524,590,688,688,750,887
84,202,275,567,567,567,567,568,568,618
85,88,179,328,412,412,433,882,882,882
66,85,175,274,493,546,584,735,735,890
87,147,154,217,338,484,789,789,789,789
36,45,71,90,611,656,656,657,768,993
91,136,278,358,358,540,651,651,670,850
44,92,165,207,261,428,764,856,871,895
92,272,369,370,370,494,596,604,677,739
62,92,92,186,186,704,704,776,854,927
36,94,220,236,262,664,700,700,711,960
25,97,181,294,369,506,589,675,881,966
11,38,100,304,391,739,739,739,739,783
96,100,145,569,569,569,569,569,637,760
20,101,110,320,366,530,733,734,735,934
103,144,226,522,522,522,522,522,739,761
103,104,128,187,309,523,667,854,854,854
104,244,342,345,346,410,612,680,686,814
34,106,110,155,429,440,491,922,948,948
111,126,140,275,275,285,739,823,865,944
57,114,349,361,441,484,484,527,797,969
118,171,536,536,537,537,537,537,537,537
24,26,121,502,504,504,635,755,756,756
122,149,323,377,410,415,504,629,756,898
45,83,126,131,219,701,701,743,917,917
134,252,372,478,479,479,480,480,599,830
110,134,201,329,358,358,660,660,878,895
19,54,123,136,199,447,671,978,978,978
137,152,174,226,324,558,657,680,724,951
118,131,139,169,618,618,618,618,618,936
26,38,68,137,140,552,625,999,999,999
141,226,257,258,452,537,678,678,678,678
90,105,144,144,564,572,741,741,741,741
37,98,146,271,440,462,733,733,734,929
42,108,153,178,271,407,448,992,992,992
59,95,154,367,523,677,677,677,677,677
116,153,154,534,534,534,535,535,535,953
156,248,286,413,413,414,456,621,621,955
155,156,157,456,457,457,457,461,913,914
22,74,157,425,425,435,435,870,870,870
157,174,198,269,321,373,425,864,864,938
41,103,153,158,275,321,883,883,883,883
9,41,160,161,481,644,678,762,763,884
34,128,162,204,266,631,632,632,947,947
106,143,162,165,266,266,722,795,979,979
163,382,400,400,400,466,572,600,600,600
142,164,234,237,237,331,626,855,869,888
43,169,272,272,274,411,684,735,735,988
109,171,301,331,367,447,476,671,855,855
176,197,270,412,588,588,588,588,588,588
97,98,125,177,327,347,796,872,872,872
152,175,177,255,344,571,572,779,779,779
180,253,302,389,400,400,440,660,747,812
187,188,189,288,328,328,469,686,942,978
189,192,300,349,382,382,423,683,829,854
108,192,389,389,390,390,390,777,778,780
59,194,202,229,359,439,651,738,848,864
11,83,113,197,227,646,683,793,915,915
68,70,189,198,413,729,729,729,729,729
199,201,380,398,399,437,458,519,677,915
74,121,200,455,455,456,456,456,955,955
144,201,223,224,551,552,672,672,672,672
66,202,203,536,596,596,596,596,596,596
23,142,163,202,417,584,635,636,784,997
90,205,220,486,486,486,486,487,818,819
177,206,207,208,434,621,621,621,621,867
200,201,208,260,350,357,400,828,847,932
85,132,209,209,328,443,555,805,846,971
11,209,281,296,372,372,760,760,761,761
209,210,494,494,494,494,495,495,495,703
11,213,226,379,518,577,577,577,688,817
198,211,214,215,239,437,624,728,731,986
43,201,216,221,407,421,706,770,770,828
211,216,245,279,372,466,523,655,655,961
140,217,283,414,414,414,415,574,830,882
14,135,218,321,412,429,760,764,765,765
166,219,335,335,336,336,533,671,810,842
156,210,221,222,460,662,663,663,663,663
144,228,261,270,415,544,544,545,816,816
56,229,229,264,398,519,601,647,647,993
45,201,230,346,420,420,471,816,817,817
152,230,232,333,344,372,566,603,808,943
131,231,264,353,443,529,551,625,632,824
175,204,232,267,268,268,535,833,834,967
22,232,234,269,269,321,809,809,809,809
58,238,239,331,478,520,561,677,734,747
240,281,282,339,382,404,485,655,735,780
1,242,246,302,322,485,486,605,947,947
149,239,243,283,344,424,465,796,808,832
150,194,199,243,304,610,610,660,804,809
146,239,241,244,308,481,481,626,855,962
43,112,244,245,245,734,734,734,734,758
208,214,239,246,367,394,497,497,960,961
58,145,191,207,251,371,840,840,840,840
251,252,252,252,252,378,503,680,831,932
223,255,255,256,258,258,515,766,898,899
56,238,260,261,358,395,753,754,754,754
1,130,261,262,272,442,682,785,786,962
61,129,132,243,262,379,523,880,987,987
164,212,216,263,263,381,551,823,824,886
131,237,267,309,413,523,524,534,786,859
35,49,199,218,269,362,538,971,971,971
85,136,163,271,295,295,407,977,977,977
206,243,271,272,303,427,487,521,906,947
188,273,410,410,410,410,410,567,684,821
159,160,222,253,276,332,560,720,950,951
107,120,278,279,279,437,728,728,728,899
143,187,280,400,595,595,595,596,596,596
54,95,283,302,537,537,538,553,806,878
83,250,283,284,397,397,722,722,722,723
64,71,182,282,284,740,740,740,740,740
104,105,282,284,304,446,447,810,811,990
64,251,285,286,413,542,619,667,695,761
70,193,285,292,292,346,776,776,776,777
4,287,288,288,288,364,575,801,842,846
288,304,308,308,328,583,616,616,616,616
100,260,288,366,366,640,640,641,641,641
191,263,289,290,290,445,560,605,781,869
27,209,290,529,530,532,532,569,579,786
220,220,290,406,406,406,406,489,800,940
291,291,291,417,454,509,541,549,582,658
4,291,508,508,508,509,509,509,510,727
60,292,292,294,294,324,470,777,887,893
93,95,121,257,292,468,608,860,871,918
293,306,307,408,409,409,612,613,613,613
161,221,269,297,350,377,727,727,727,727
6,267,267,299,300,300,565,719,930,930
169,296,303,319,346,346,347,819,819,819
90,112,305,515,515,515,515,515,515,986
213,307,308,308,377,447,468,616,616,923
121,307,354,474,474,474,475,475,475,954
135,211,249,269,308,374,586,817,817,817
110,193,236,313,439,470,705,705,706,706
253,313,314,314,314,314,563,627,629,942
63,80,316,547,547,547,547,548,548,840
52,154,226,316,364,453,453,752,906,907
141,147,228,317,317,520,634,634,694,951
79,227,318,318,318,543,556,635,636,953
26,193,232,318,368,453,710,711,750,822
4,64,195,320,475,549,550,787,787,852
63,156,223,321,323,363,604,698,864,968
222,322,480,487,512,512,512,512,512,512
41,77,197,201,327,748,748,748,748,748
33,143,248,327,638,638,639,639,639,639
39,41,82,167,327,363,888,892,892,892
164,198,230,329,377,417,608,626,763,871
255,332,386,386,386,387,387,387,772,905
55,234,235,334,370,571,604,604,604,972
143,214,215,334,335,668,668,668,669,669
156,167,206,234,337,570,586,762,763,802
120,229,338,338,340,367,368,827,828,828
21,84,86,132,341,681,682,852,852,852
137,239,239,332,342,342,349,821,821,961
80,211,217,329,344,399,404,808,809,982
13,149,241,344,344,345,688,689,785,985
115,130,229,342,344,344,358,821,929,971
102,188,340,341,345,409,411,592,868,987
119,201,346,346,346,346,542,701,817,819
16,211,310,348,348,349,697,710,721,873
248,277,350,524,524,524,525,525,525,561
44,124,214,356,388,578,685,686,732,776
101,241,270,362,362,454,623,723,723,724
148,352,362,373,436,437,530,585,623,737
182,364,364,364,364,364,365,443,840,933
10,150,282,365,507,641,657,657,657,657
81,115,157,157,368,600,716,796,796,797
9,12,30,49,369,481,908,908,908,909
143,201,214,269,370,413,728,731,732,782
61,142,372,427,427,427,503,617,631,976
216,374,374,374,374,374,375,375,750,997
19,93,375,376,376,376,695,695,778,800
123,298,377,383,567,567,567,567,567,567
142,143,180,377,377,392,466,754,806,946
23,305,324,359,381,584,651,652,652,652
11,94,382,382,497,539,583,584,584,927
377,382,382,382,382,383,383,383,564,965
258,347,385,385,385,385,385,513,641,899
287,390,390,390,390,391,391,586,586,782
217,368,390,391,391,485,585,585,585,586
27,154,393,393,393,393,394,690,761,985
164,164,237,310,315,394,413,710,938,938
383,396,396,396,396,403,425,594,594,600
65,172,241,395,396,396,471,592,868,987
226,282,282,283,284,390,397,722,795,922
55,109,397,398,398,398,592,720,720,796
211,402,402,402,402,402,528,546,572,716
33,56,119,407,407,483,577,762,762,977
408,408,408,408,408,408,408,408,408,911
118,232,245,409,420,517,592,613,613,824
2,231,274,275,276,367,410,916,916,916
20,38,41,257,411,411,640,896,897,972
80,412,442,521,521,521,521,521,522,522
142,175,191,319,414,573,596,680,684,809
126,159,416,416,416,417,417,418,802,996
209,217,398,418,418,418,419,419,830,837
65,71,154,210,324,419,787,851,851,851
71,137,178,218,419,420,493,729,959,959
10,53,340,378,423,423,623,753,758,822
41,113,137,425,425,425,426,768,870,953
161,234,426,426,426,426,426,603,673,782
19,183,350,352,352,427,599,610,702,989
62,142,315,315,427,511,630,631,631,919
283,429,429,429,429,430,430,430,465,829
42,113,156,431,431,431,635,658,704,982
267,299,431,431,431,432,432,432,432,996
7,182,233,267,379,432,711,711,830,831
158,207,251,432,432,433,434,527,842,867
155,155,182,183,409,435,766,766,766,766
7,113,434,435,435,435,435,712,712,865
97,203,438,439,439,439,439,439,738,912
172,196,245,269,440,441,441,441,968,970
120,145,441,442,442,442,442,442,695,972
29,43,424,446,446,446,446,643,791,869
133,354,412,448,448,449,449,449,449,992
185,209,209,339,419,419,449,629,827,898
69,128,226,324,451,452,676,677,677,903
2,57,212,452,453,453,453,678,906,917
