56218,59241,61617
19764,22052,72070,86114
20127,35157,62009,82707
20195,23766,70002,86037
20587,20650,70431,88332
20629,30641,64663,84067
20740,43904,61135,74221
20811,24520,71313,83356
20941,24353,69518,85188
20981,31734,66216,81069
21095,36952,64582,77371
21154,32752,61739,84355
21315,24787,69702,84196
21418,28165,66066,84351
21483,36676,60209,81632
21505,30206,65566,82723
21567,26100,68124,84209
21665,21918,71292,85125
21709,26998,67913,83380
21832,34123,61061,82984
21949,31636,62015,84400
21975,27842,65635,84548
22154,33797,60989,83060
22821,37008,59429,80742
23252,36831,59267,80650
23323,27134,70390,79153
23863,29470,64980,81687
23868,27121,68074,80937
24203,38334,61628,75835
24495,30683,61164,83658
24747,27284,62600,85369
24991,41699,55822,77488
25391,30542,62143,81924
25446,27144,62155,85255
25746,35116,63961,75177
25775,30540,64618,79067
25819,29573,60943,83665
25992,26534,66368,81106
26570,31153,68637,73640
26794,31718,59605,81883
27029,32366,64880,75725
27034,27766,61746,83454
27224,33197,59098,80481
27268,29383,60727,82622
27483,33646,54986,83885
27496,29671,60039,82794
27916,37219,61727,73138
27918,30283,57769,84030
27941,34873,57570,79616
27967,29885,63985,78163
27997,28964,60187,82852
28083,35362,60373,76182
28389,29752,61017,80842
28649,47040,53245,71066
28937,40585,57257,73221
29120,30948,64494,75438
29291,36856,56871,76982
29533,35683,63123,71661
29699,32290,59625,78386
29748,46373,58350,65529
29899,35610,55974,78517
29958,33896,58753,77393
30466,36967,59140,73427
30482,47836,49244,72438
30588,36291,57911,75210
30776,40504,54223,74497
31124,36154,54540,78182
31219,41395,53633,73753
31267,36179,52388,80166
31406,32623,54398,81573
31458,46103,51107,71332
31467,31722,63132,73679
31596,32245,54427,81732
31771,32908,58681,76640
31927,37267,53547,77259
32411,53702,56441,57446
32595,33239,64581,69585
33424,46936,48904,70736
33463,40961,61411,64165
33801,37440,54097,74662
34032,40862,59402,65704
34114,40058,54738,71090
34138,48466,52071,65325
34370,44405,55967,65258
34418,47143,51458,66981
34595,34860,58103,72442
34614,35077,50219,80090
34906,37145,53445,74504
34912,39944,53383,71761
35038,40317,51910,72735
35092,42838,55158,66912
35278,44849,57376,62497
35833,37278,37814,39811
35973,37766,56876,69385
36068,37649,58844,67439
36204,36674,56922,70200
36360,41057,52033,70550
36664,43126,55018,65192
36738,48505,55957,58800
36945,46668,54280,62107
37231,38436,53578,70755
37657,38378,58076,65889
38579,43449,56465,61507
38640,49218,50832,61310
38737,42757,56197,62309
38936,45676,55061,60327
39065,46894,46931,67110
39093,40696,51640,68571
39320,41495,48183,71002
39391,44708,48134,67767
39406,49099,54692,56803
39483,47954,54748,57815
39870,46911,48011,65208
40257,44220,56243,59280
40594,41196,51091,67119
40638,49620,54190,55552
40673,44198,52950,62179
40921,46025,52361,60693
41102,44862,50118,63918
41159,49467,52637,56737
41187,41216,42075,42391
41541,48586,51559,58314
42286,42987,53170,61557
42766,46200,46649,64385
42840,42953,42992,43260
42878,47010,49552,60560
43402,43990,44306,44698
43483,44540,49463,62514
44206,44932,50303,60559
44313,45787,53302,56598
44425,44556,45369,65650
44798,45227,45470,45918
45841,47528,49414,57217
46869,47061,47886,49133
47162,47987,48613,56238
47345,47570,48105,56980
47380,49409,50468,52739
232,785,3927,95432,99624
459,2623,4405,93509,99004
695,1296,4443,94040,99526
928,3467,4249,92472,98884
1347,1786,4243,93982,98642
1383,1894,2710,94547,99466
1507,6550,7003,87211,97729
2178,2526,5534,91249,98513
2185,6331,7141,87588,96755
2340,3212,5203,90836,98409
3118,4065,5171,90193,97453
4359,6100,7099,85377,97065
4460,4600,5515,88013,97412
6540,7369,7543,81988,96560
11125,13468,16824,71456,87127
12672,16109,17288,66487,87444
38603,39892,40000,40072,40668
